Campaign Name,Objective,Day,Age,Gender,Delivery Level,Reach,Impressions,Frequency,Result Type,Results,Results [On Ad],Results [28 Days After Clicking],Cost per Result,Cost per Result [On Ad],Cost per Result [28 Days After Clicking],Amount Spent (USD),"CPM (Cost per 1,000 Impressions)",Link Clicks,Link Clicks [On Ad],CPC (Cost per Link Click),CPC (Cost per Link Click) [On Ad],CTR (Link Click-Through Rate),Clicks (All),CPC (All),CTR (All),Purchases Conversion Value,Purchases Conversion Value [28 Days After Clicking],Cost per Purchase,Cost per Purchase [28 Days After Clicking],Purchases,Purchases [28 Days After Clicking],Purchase ROAS (Return on Ad Spend),Purchase ROAS (Return on Ad Spend) [28 Days After Clicking]
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-19,25-34,female,campaign,1406,1510,1.07,Page likes,63,59,4,1,1.07,15.83,63.31,41.93,,,,,,64,0.99,4.24,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-19,45-54,female,campaign,1702,1802,1.06,Page likes,94,88,6,0.93,0.99,14.56,87.33,48.46,,,,,,102,0.86,5.66,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-19,18-24,female,campaign,972,1129,1.16,Page likes,42,42,,0.93,0.93,,39.10,34.63,,,,,,43,0.91,3.81,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-19,55-64,female,campaign,156,163,1.04,Page likes,6,6,,1.52,1.52,,9.14,56.07,,,,,,6,1.52,3.68,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-19,35-44,female,campaign,1584,1791,1.13,Page likes,67,67,,1.23,1.23,,82.10,45.84,,,,,,76,1.08,4.24,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-18,55-64,female,campaign,184,230,1.25,Page likes,12,11,1,0.88,0.95,10.5,10.50,45.65,,,,,,13,0.81,5.65,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-18,35-44,female,campaign,1832,2052,1.12,Page likes,84,83,1,0.97,0.98,81.51,81.51,39.72,,,,,,91,0.9,4.43,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-18,25-34,female,campaign,1474,1668,1.13,Page likes,66,65,1,0.93,0.94,61.12,61.12,36.64,,,,,,71,0.86,4.26,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-18,18-24,female,campaign,1080,1280,1.19,Page likes,50,49,1,0.87,0.88,43.25,43.25,33.79,,,,,,59,0.73,4.61,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-18,45-54,female,campaign,2066,2300,1.11,Page likes,85,83,2,1.12,1.14,47.39,94.78,41.21,,,,,,92,1.03,4,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-17,55-64,female,campaign,196,213,1.09,Page likes,10,10,,0.96,0.96,,9.61,45.12,,,,,,11,0.87,5.16,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-17,45-54,female,campaign,2024,2292,1.13,Page likes,91,90,1,1.06,1.08,96.87,96.87,42.26,,,,,,99,0.98,4.32,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-17,35-44,female,campaign,1870,2150,1.15,Page likes,94,88,6,0.91,0.97,14.25,85.50,39.77,,,,,,100,0.86,4.65,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-17,25-34,female,campaign,1308,1510,1.15,Page likes,48,45,3,1.06,1.13,16.95,50.86,33.68,,,,,,52,0.98,3.44,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-17,18-24,female,campaign,1008,1203,1.19,Page likes,53,51,2,0.81,0.84,21.5,43.00,35.74,,,,,,55,0.78,4.57,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-16,55-64,female,campaign,172,184,1.07,Page likes,9,9,,1.15,1.15,,10.33,56.13,,,,,,12,0.86,6.52,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-16,45-54,female,campaign,1747,1932,1.11,Page likes,104,102,2,0.87,0.88,45.09,90.18,46.68,,,,,,113,0.8,5.85,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-16,35-44,female,campaign,1548,1707,1.1,Page likes,75,73,2,1,1.03,37.62,75.24,44.07,,,,,,83,0.91,4.86,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-16,25-34,female,campaign,1488,1546,1.04,Page likes,55,53,2,1.16,1.2,31.79,63.57,41.12,,,,,,60,1.06,3.88,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-16,18-24,female,campaign,996,1142,1.15,Page likes,51,50,1,0.78,0.79,39.61,39.61,34.69,,,,,,55,0.72,4.82,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-15,25-34,female,campaign,1452,1600,1.1,Page likes,46,46,,1.39,1.39,,63.88,39.92,,,,,,52,1.23,3.25,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-15,45-54,female,campaign,1648,1770,1.07,Page likes,91,86,5,1,1.05,18.14,90.69,51.24,,,,,,93,0.98,5.25,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-15,18-24,female,campaign,1086,1217,1.12,Page likes,52,52,,0.88,0.88,,46.02,37.81,,,,,,54,0.85,4.44,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-15,55-64,female,campaign,162,180,1.11,Page likes,8,7,1,1.17,1.34,9.36,9.36,52,,,,,,12,0.78,6.67,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-15,35-44,female,campaign,1326,1514,1.14,Page likes,81,80,1,0.94,0.95,75.99,75.99,50.19,,,,,,85,0.89,5.61,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-14,35-44,female,campaign,1264,1330,1.05,Page likes,49,47,2,1.14,1.19,27.96,55.91,42.04,,,,,,59,0.95,4.44,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-14,45-54,female,campaign,1700,1899,1.12,Page likes,87,86,1,1.01,1.03,88.3,88.30,46.5,,,,,,95,0.93,5,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-14,55-64,female,campaign,206,219,1.06,Page likes,6,6,,1.67,1.67,,10.03,45.8,,,,,,9,1.11,4.11,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-14,18-24,female,campaign,864,1025,1.19,Page likes,61,60,1,0.69,0.7,42.28,42.28,41.25,,,,,,68,0.62,6.63,,,,,,,,
[02/14/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-02-14,25-34,female,campaign,1250,1373,1.1,Page likes,71,69,2,0.82,0.84,28.99,57.98,42.23,,,,,,75,0.77,5.46,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-03,18-24,female,campaign,298,303,1.02,Page Likes,3,3,,2.37,2.37,,7.12,23.5,,,,,,5,1.42,1.65,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-03,45-54,female,campaign,337,338,1,Page Likes,8,7,1,1.51,1.72,12.04,12.04,35.62,,,,,,10,1.2,2.96,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-03,55-64,female,campaign,35,35,1,Page Likes,3,3,,0.42,0.42,,1.26,36,,,,,,3,0.42,8.57,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-03,35-44,female,campaign,413,420,1.02,Page Likes,9,9,,1.55,1.55,,13.94,33.19,,,,,,11,1.27,2.62,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-03,25-34,female,campaign,410,411,1,Page Likes,7,7,,1.36,1.36,,9.51,23.14,,,,,,10,0.95,2.43,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-02,45-54,female,campaign,2416,2572,1.06,Page Likes,64,63,,1.2,1.22,,76.93,29.91,,,,,,84,0.92,3.27,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-02,25-34,female,campaign,2236,2450,1.1,Page Likes,54,52,2,1.08,1.12,29.03,58.06,23.7,,,,,,66,0.88,2.69,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-02,35-44,female,campaign,2146,2360,1.1,Page Likes,35,33,2,1.79,1.9,31.32,62.64,26.54,,,,,,43,1.46,1.82,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-02,18-24,female,campaign,1768,2021,1.14,Page Likes,35,34,1,1.27,1.31,44.54,44.54,22.04,,,,,,43,1.04,2.13,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-02,55-64,female,campaign,255,255,1,Page Likes,8,8,,0.96,0.96,,7.65,30,,,,,,10,0.77,3.92,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-01,35-44,female,campaign,2182,2346,1.08,Page Likes,34,32,1,1.72,1.83,58.46,58.46,24.92,,,,,,36,1.62,1.53,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-01,18-24,female,campaign,2200,2379,1.08,Page Likes,35,33,2,1.26,1.34,22.05,44.09,18.53,,,,,,46,0.96,1.93,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-01,25-34,female,campaign,2220,2424,1.09,Page Likes,26,26,,2.05,2.05,,53.42,22.04,,,,,,37,1.44,1.53,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-01,45-54,female,campaign,2442,2594,1.06,Page Likes,55,53,2,1.46,1.51,40.07,80.14,30.89,,,,,,76,1.05,2.93,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-06-01,55-64,female,campaign,228,257,1.13,Page Likes,8,8,,1.06,1.06,,8.44,32.84,,,,,,9,0.94,3.5,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-31,35-44,female,campaign,2510,2629,1.05,Page Likes,30,28,2,2,2.14,30.01,60.01,22.83,,,,,,38,1.58,1.45,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-31,25-34,female,campaign,2196,2341,1.07,Page Likes,37,36,,1.36,1.4,,50.43,21.54,,,,,,42,1.2,1.79,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-31,18-24,female,campaign,1844,2035,1.1,Page Likes,31,31,,1.16,1.16,,36.10,17.74,,,,,,39,0.93,1.92,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-31,55-64,female,campaign,276,296,1.07,Page Likes,6,6,,1.49,1.49,,8.92,30.14,,,,,,9,0.99,3.04,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-31,45-54,female,campaign,2962,3061,1.03,Page Likes,66,65,1,1.38,1.4,90.97,90.97,29.72,,,,,,81,1.12,2.65,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-30,45-54,female,campaign,2972,3116,1.05,Page Likes,55,54,1,1.72,1.75,94.63,94.63,30.37,,,,,,72,1.31,2.31,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-30,35-44,female,campaign,2504,2730,1.09,Page Likes,39,35,4,1.64,1.83,16.04,64.15,23.5,,,,,,48,1.34,1.76,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-30,25-34,female,campaign,2168,2352,1.08,Page Likes,25,24,1,1.81,1.89,45.33,45.33,19.27,,,,,,31,1.46,1.32,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-30,18-24,female,campaign,1804,1985,1.1,Page Likes,29,28,1,1.18,1.22,34.28,34.28,17.27,,,,,,40,0.86,2.02,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-30,55-64,female,campaign,304,315,1.04,Page Likes,6,6,,1.63,1.63,,9.75,30.95,,,,,,6,1.63,1.9,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-29,35-44,female,campaign,2850,3038,1.07,Page Likes,63,60,3,1.11,1.17,23.4,70.20,23.11,,,,,,70,1,2.3,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-29,45-54,female,campaign,3160,3352,1.06,Page Likes,81,77,3,1.16,1.22,31.23,93.69,27.95,,,,,,97,0.97,2.89,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-29,25-34,female,campaign,2374,2522,1.06,Page Likes,36,35,1,1.35,1.39,48.62,48.62,19.28,,,,,,44,1.11,1.74,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-29,18-24,female,campaign,1674,1886,1.13,Page Likes,29,28,1,1.06,1.1,30.68,30.68,16.27,,,,,,40,0.77,2.12,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-29,55-64,female,campaign,332,342,1.03,Page Likes,13,10,3,0.92,1.2,4.01,12.02,35.15,,,,,,17,0.71,4.97,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-28,45-54,female,campaign,3084,3154,1.02,Page Likes,78,75,3,1.17,1.22,30.55,91.64,29.06,,,,,,93,0.99,2.95,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-28,35-44,female,campaign,2646,2765,1.04,Page Likes,44,43,1,1.55,1.59,68.34,68.34,24.72,,,,,,56,1.22,2.03,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-28,25-34,female,campaign,1966,2062,1.05,Page Likes,36,34,1,1.4,1.48,50.29,50.29,24.39,,,,,,43,1.17,2.09,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-28,18-24,female,campaign,1322,1434,1.08,Page Likes,28,27,1,1.13,1.17,31.67,31.67,22.09,,,,,,34,0.93,2.37,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-28,55-64,female,campaign,289,289,1,Page Likes,5,5,,2.18,2.18,,10.89,37.68,,,,,,8,1.36,2.77,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-27,45-54,female,campaign,2506,2600,1.04,Page Likes,81,77,4,1.08,1.14,21.89,87.55,33.67,,,,,,98,0.89,3.77,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-27,35-44,female,campaign,2074,2257,1.09,Page Likes,47,45,2,1.49,1.56,35,69.99,31.01,,,,,,60,1.17,2.66,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-27,25-34,female,campaign,1642,1902,1.16,Page Likes,33,33,,1.55,1.55,,51.11,26.87,,,,,,34,1.5,1.79,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-27,18-24,female,campaign,1190,1364,1.15,Page Likes,31,29,2,1.1,1.17,17,34.00,24.93,,,,,,38,0.89,2.79,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-27,55-64,female,campaign,258,271,1.05,Page Likes,11,11,,0.94,0.94,,10.37,38.27,,,,,,12,0.86,4.43,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-26,55-64,female,campaign,256,293,1.14,Page Likes,7,7,,1.39,1.39,,9.72,33.17,,,,,,7,1.39,2.39,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-26,45-54,female,campaign,2778,2939,1.06,Page Likes,81,79,1,1.14,1.17,92.13,92.13,31.35,,,,,,100,0.92,3.4,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-26,35-44,female,campaign,2358,2662,1.13,Page Likes,63,62,1,1.33,1.35,83.78,83.78,31.47,,,,,,67,1.25,2.52,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-26,25-34,female,campaign,2012,2199,1.09,Page Likes,54,53,1,1.07,1.09,57.93,57.93,26.34,,,,,,63,0.92,2.86,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-26,18-24,female,campaign,1430,1627,1.14,Page Likes,30,30,,1.32,1.32,,39.46,24.25,,,,,,42,0.94,2.58,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-25,45-54,female,campaign,2686,2808,1.05,Page Likes,78,74,4,1.25,1.32,24.45,97.78,34.82,,,,,,91,1.07,3.24,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-25,55-64,female,campaign,274,274,1,Page Likes,11,11,,0.97,0.97,,10.63,38.8,,,,,,13,0.82,4.74,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-25,18-24,female,campaign,1296,1469,1.13,Page Likes,39,39,,1.06,1.06,,41.34,28.14,,,,,,44,0.94,3,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-25,25-34,female,campaign,1788,1914,1.07,Page Likes,41,40,1,1.39,1.43,57.05,57.05,29.81,,,,,,49,1.16,2.56,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-25,35-44,female,campaign,2292,2463,1.07,Page Likes,57,56,1,1.53,1.55,87.05,87.05,35.34,,,,,,70,1.24,2.84,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-24,45-54,female,campaign,3170,3297,1.04,Page Likes,98,88,10,1.22,1.35,11.92,119.16,36.14,,,,,,116,1.03,3.52,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-24,35-44,female,campaign,2230,2359,1.06,Page Likes,45,42,3,1.68,1.8,25.19,75.58,32.04,,,,,,52,1.45,2.2,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-24,25-34,female,campaign,1466,1575,1.07,Page Likes,34,34,,1.46,1.46,,49.53,31.45,,,,,,39,1.27,2.48,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-24,18-24,female,campaign,1164,1350,1.16,Page Likes,26,26,,1.33,1.33,,34.59,25.62,,,,,,32,1.08,2.37,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-24,55-64,female,campaign,340,369,1.09,Page Likes,7,6,1,2.15,2.51,15.06,15.06,40.81,,,,,,12,1.26,3.25,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-23,18-24,female,campaign,914,1092,1.19,Page Likes,36,34,1,0.89,0.94,31.88,31.88,29.19,,,,,,39,0.82,3.57,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-23,25-34,female,campaign,1212,1396,1.15,Page Likes,35,34,1,1.2,1.23,41.98,41.98,30.07,,,,,,39,1.08,2.79,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-23,35-44,female,campaign,2178,2396,1.1,Page Likes,53,53,,1.53,1.53,,80.89,33.76,,,,,,56,1.44,2.34,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-23,45-54,female,campaign,3130,3406,1.09,Page Likes,98,95,3,1.27,1.31,41.64,124.91,36.67,,,,,,111,1.13,3.26,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-23,55-64,female,campaign,374,381,1.02,Page Likes,13,12,1,1.2,1.3,15.58,15.58,40.89,,,,,,15,1.04,3.94,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-22,55-64,female,campaign,262,290,1.11,Page Likes,4,4,,2.39,2.39,,9.55,32.93,,,,,,7,1.36,2.41,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-22,45-54,female,campaign,2620,2831,1.08,Page Likes,82,79,3,1.31,1.36,35.69,107.06,37.82,,,,,,95,1.13,3.36,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-22,18-24,female,campaign,1918,2126,1.11,Page Likes,30,29,1,1.56,1.61,46.74,46.74,21.98,,,,,,45,1.04,2.12,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-22,25-34,female,campaign,2242,2359,1.05,Page Likes,33,29,3,1.71,1.95,18.82,56.45,23.93,,,,,,41,1.38,1.74,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-22,35-44,female,campaign,2268,2457,1.08,Page Likes,46,44,2,1.67,1.75,38.47,76.94,31.31,,,,,,54,1.42,2.2,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-21,55-64,female,campaign,240,247,1.03,Page Likes,12,12,,0.88,0.88,,10.51,42.56,,,,,,14,0.75,5.67,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-21,35-44,female,campaign,2328,2548,1.09,Page Likes,32,29,3,1.94,2.15,20.74,62.21,24.42,,,,,,39,1.6,1.53,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-21,45-54,female,campaign,2496,2674,1.07,Page Likes,41,40,1,2.03,2.09,83.42,83.42,31.2,,,,,,53,1.57,1.98,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-21,18-24,female,campaign,2471,2876,1.16,Page Likes,42,40,2,1.49,1.57,31.3,62.60,21.77,,,,,,48,1.3,1.67,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-21,25-34,female,campaign,2780,3237,1.16,Page Likes,33,30,3,2.08,2.28,22.83,68.49,21.16,,,,,,40,1.71,1.24,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-06,25-34,female,campaign,523,528,1.01,Page Likes,9,8,,1.28,1.44,,11.50,21.78,,,,,,12,0.96,2.27,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-06,45-54,female,campaign,458,459,1,Page Likes,9,8,1,1.53,1.72,13.75,13.75,29.96,,,,,,12,1.15,2.61,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-06,18-24,female,campaign,451,455,1.01,Page Likes,8,8,,0.9,0.9,,7.17,15.76,,,,,,10,0.72,2.2,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-06,35-44,female,campaign,443,444,1,Page Likes,11,11,,0.93,0.93,,10.27,23.13,,,,,,12,0.86,2.7,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-06,55-64,female,campaign,44,44,1,Page Likes,2,2,,0.59,0.59,,1.18,26.82,,,,,,2,0.59,4.55,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-05,45-54,female,campaign,2838,2992,1.05,Page Likes,71,68,3,1.29,1.34,30.43,91.30,30.51,,,,,,80,1.14,2.67,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-05,25-34,female,campaign,2354,2453,1.04,Page Likes,43,42,,1.25,1.27,,53.54,21.83,,,,,,45,1.19,1.83,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-05,18-24,female,campaign,2146,2381,1.11,Page Likes,46,41,5,0.93,1.04,8.55,42.75,17.95,,,,,,59,0.72,2.48,,,,,,,,
[03/23/2018] Promoting EyeBuyDirect,PAGE_LIKES,2018-05-05,35-44,female,campaign,2066,2258,1.09,Page Likes,47,47,,1.36,1.36,,64.01,28.35,,,,,,53,1.21,2.35,,,,,,,,
